target (install path under ~/.claude/)	source (harvested from)	scrub	notes
hooks/doc-currency-guard.sh	authored (2026-07-12, T-16)	authored	PreToolUse matcher=Read: INFORM-BUT-ALLOW read-time currency guard; injects a notice via hookSpecificOutput.additionalContext when Reading a SUPERSEDED-BY/HISTORICAL durable doc, never blocks, always exit 0; reuses doc-status.sh status_of() STATUS parse ($HOME paths)
hooks/stop-adversary-gate.sh	<workspace>/.claude/hooks/	heavy	F1 adversary Stop-gate: forks `claude -p` on the agent's final claim, blocks laundered-reasoning completions; genericized project tokens; rc=124/127 fail-open-but-logged
hooks/timeline-logger.sh	<workspace>/.claude/hooks/	rewrite	PostToolUse+UserPromptSubmit+Stop: appends per-event JSONL (ms-precision ts + epoch_ms) to ~/.claude/logs/timeline.jsonl; env vars -> stdin JSON
hooks/transcript_archive.py	authored (2026-07-12, T-28)	authored	SessionStart: detached archiver mirrors AUTO-PRODUCED CC record (projects/ transcripts+subagent logs+auto-memory, history.jsonl, todos/, file-history/) to a vault OUTSIDE ~/.claude (default ~/.claude-vault); incremental + never-deleting; NEVER copies .credentials*/customization/settings/backups; pure-stdlib python3 (portable macOS+Linux); exit 0 always (never blocks session start)
hooks/xbeep/beep-state.sh	~/.claude/hooks/xbeep/	none	portable + cross-platform + stdin-correct
hooks/xbeep/notification-beep.sh	~/.claude/hooks/xbeep/	none	"
hooks/xbeep/stop-beep.sh	~/.claude/hooks/xbeep/	none	"
hooks/xbeep/user-prompt-submit-beep.sh	~/.claude/hooks/xbeep/	none	"
hooks/xbeep/README.md	~/.claude/hooks/xbeep/	light	/Users/... -> ~; dropped obsolete-locations + author + distribution note
methodology/AUTONOMY_MANDATE.machine.md	<ari>/docs/other/	light	dropped engine-loop block; genericized realism exemplar; stripped SOURCES paths
methodology/DOC_STYLE_MACHINE_VS_HUMAN.machine.md	<ari>/docs/other/	light	NOTE.this_project -> NOTE.default
methodology/HANDOFF_PROTOCOL.machine.md	<ari>/docs/other/	light	genericized bitident-gate example
methodology/DEVELOPMENT_TREE.machine.md	authored (this project, 2026-07-11)	authored	/development record convention (past/present/future temporal tree) + /clean-tasks verb; T-08 meta-feature
settings/core.fragment.json	authored (deny from <workspace>/.claude/settings.local.json)	authored	safety deny-list + 4 dev-hook registrations (post-edit-review, pre-complete-verification, stop-adversary-gate, timeline-logger) ($HOME paths)
settings/ambient-time.fragment.json	authored (2026-07-11)	authored	registers ambient_time.py on UserPromptSubmit + SessionStart ($HOME paths); merges by matcher into core's UserPromptSubmit group
settings/doc-currency-guard.fragment.json	authored (2026-07-12, T-16)	authored	registers doc-currency-guard.sh on PreToolUse matcher=Read ($HOME paths); fresh event array (core+ambient-time define no PreToolUse), merges cleanly
settings/transcript-vault.fragment.json	authored (2026-07-12, T-28)	authored	sets cleanupPeriodDays=99999 (never 0 — GitHub #23710) + registers transcript_archive.py on SessionStart matcher='' ($HOME paths); coalesces with ambient-time's SessionStart block via merge_settings coalesce_by_matcher
settings/ergonomics.fragment.json	authored	authored	3 xbeep hook registrations ($HOME paths)
settings/personal.fragment.json	authored (from ~/.claude/settings.json)	authored	model/theme/tui/effort=max/alwaysThinking/plugin
skills/folio/SKILL.md	authored	authored	render pipeline /folio: preflight tool-install + machine->human translate + xelatex render + docx-on-request + Missing-char QA gate
skills/capability-audit/SKILL.md	authored (2026-07-12, T-21)	authored	capability-audit skill: inventory+cluster+recommend retire/relocate across agents∪skills; one doc, two adapters (CC file-walk / Science host.agents+host.skills); COMMIT-CLASS copy-then-confirm, recommend-not-enforce
skills/solo/SKILL.md	authored (from AUTONOMY_MANDATE atoms)	authored	autonomous-mandate mode /solo; also installed locally to ~/.claude/skills/solo/
skills/collab/SKILL.md	authored (this project, 2026-07-11)	authored	collaborative middle default /collab; the neutral detent of the AGENCY_MODE dial (owns the canonical return-to-middle phrase set)
skills/plan/SKILL.md	authored (this project, 2026-07-11)	authored	deliberation mode /plan; deliberation-MAX detent of the AGENCY_MODE dial; maximal setting of RULE.recon_before_commitment
skills/sci-file-index/SKILL.md	authored (2026-07-12, sci-lit-indexer build; refreshed 2026-07-14 T-37 from Literature Library at-scale hardening = Science bundle v1.3 script)	authored	catalog a literature folder into a confidence-tiered metadata index; resolves cryptic publisher-code filenames (stem=>DOI) + scanned/image-only PDFs (OCR); NEVER fabricates. BUNDLES sci_file_index.py (6-subcommand pipeline: extract/build/resolve/ocr/apply + rename [canonical, ledgered, reversible — the one that writes to disk]; pure py3 stdlib + poppler, OCR optional) carried by the skills/ tree copy — no separate install row. Refresh +30KB: cover-sheet/JSTOR parsing, content-hash dedup, SFI_INDEX_DIR output override, _sfi_progress.txt heartbeat
docs/USAGE_DETAILED.machine.md	authored	authored	detailed beginner usage guide (machine root; 20+ sections)
docs/USAGE_DETAILED.md + .pdf	derived via folio	authored	human twin + rendered PDF (9pp; QA: 0 missing glyphs)
docs/QUICKSTART.machine.md	authored	authored	day-one quickstart (machine root)
docs/QUICKSTART.md + .pdf	derived via folio	authored	human twin + rendered PDF (2pp; QA: 0 missing glyphs)
docs/advanced/00_overview.machine.md	authored	authored	ADVANCED guide HUB — orientation + harness-mindset + doc map (01-10) + consolidated references + glossary
docs/advanced/01..10_*.machine.md	authored (01/03/10 from ADVANCED.machine.md; 02/04-09 from synthesized cited method clusters)	authored	10 in-depth ADVANCED docs: extension-architecture, skills/commands, agents, agentic-workflows, pattern-vocabulary, loops, dynamic-workflows, context-engineering, going-further(MCP/sandbox/plugins/SDK), authoring
docs/advanced/*.md + *.pdf	derived via folio	authored	11 human twins + PDFs (20 mermaid figures; QA 0 missing glyphs each)
agents/design-rationale-analyst.md	Claude Science Design Rationale Analyst profile (reverse port 2026-07-14)	light	rational-reconstruction specialist; recovers implicit design rationale + separates the transferable schema from instances on a 5-discipline grounding spine (traceability/evidence-grading/scope-of-validity/friction-grounding/falsification). model opus, color purple, memory project. Cross-refs remapped: writing-science skill + science-writing-stylist agent, expert-prose-style skill, code-review-debugger agent (EXISTS), research-stats-advisor skill (EXISTS); delegates rendering to teaching-narrative. One Science 'artifact' token -> 'corpus'; all other atoms verbatim.
agents/formal-argument-checker.md	Claude Science FORMAL_ARGUMENT_CHECKER profile (reverse port)	clean	Pure-prose port; redirects remapped: AI-Safety Scholar + Philosophy-of-Technology Scholar + Transcript Miner (not ported) genericized to 'the relevant domain reviewer'. color red, model opus, memory project.
agents/llm-doc-architect.md	Claude Science LLM_DOC_ARCHITECT profile (reverse port)	clean	Heaviest port. Science primitives retained + annotated with CC counterparts (subagents=CC agents/Task tool; host.delegate=Science analog of Task tool; artifact/lineage=analog of files+git). Redirects remapped -> research-stats-advisor skill + code-review-debugger agent. STATUS notes it COMPLEMENTS (not replaces) machine-md skill + machine-doc-reviewer agent. color cyan, model opus, memory project.
agents/prompt-engineer.md	authored (ported from Claude Science profile, reverse port 2026-07-14)	light	profile->agent frontmatter (name/description/model:opus/color:yellow/memory:project) + STATUS line; systemPrompt body verbatim except cross-ref remap (LLM Doc Architect->the llm-doc-architect agent; skill-creator pointer dropped); eliciting-llm-behavior + machine-md refs kept; 5-step protocol + unforgivable-move + boundaries preserved; em-dashes kept per CC agent house style; scrub-CLEAN
agents/science-writing-stylist.md	authored (ported from Claude Science Science-Writing Stylist profile, reverse port)	light	profile->agent frontmatter (name/description/model:opus/color:blue/memory:project) + STATUS header; cross-refs remapped (Formal & Quantitative Argument Checker->formal-argument-checker agent; LLM Doc Architect->llm-doc-architect agent; 'AI-Safety Scholar or the relevant domain reviewer' collapsed to 'the relevant domain reviewer'); craft body otherwise unchanged || UPDATED 2026-07-30 (Hb, writing-tools bundle): ownership paragraph extended to the post-P2c detector classes + audits (flourish split, term_drift, pseudo_explanation, novelty_claims, closing/compliance audits); craft body otherwise unchanged; efficacy of additions = the writing-science skill's.
skills/design-rationale/SKILL.md	Claude Science design-rationale skill (reverse port 2026-07-14)	light	THINKING procedure that recovers/grounds/grades design rationale (inventory->cluster-by-friction->abstract->ground->grade->scope->falsify) with a 5-discipline rigor spine. BUNDLES rationale_ledger.py (traceability-ledger validator: new_ledger/add_principle/validate_row/validate_ledger/ledger_to_markdown VERBATIM from the Science kernel + added argparse validate/render CLI, exit-code build gate, stdin via '-') carried by the skills/ tree copy -- no separate install row (per sci-file-index exemplar). Auto-load '## The ledger' section rewritten to explicit `python3 "$HOME/.claude/skills/design-rationale/rationale_ledger.py" validate|render` invocation; generic 'artifacts' token -> 'corpus'. Refs writing-science/teaching-narrative/expert-prose-style/eliciting-llm-behavior/machine-md (all ported or EXISTS).
skills/eliciting-llm-behavior/SKILL.md	authored (ported from Claude Science skill, reverse port 2026-07-14)	medium	Science->CC re-expression: host.llm schema-forcing/enum, host.llm LIST-form map-reduce, and host.delegate steps re-expressed as CC-native prompt levers (fill-in output TEMPLATE, closed-set + post-check, per-item parallel subagents via Task tool, manual N-trial A/B); full 9-lever catalog + MEASURE + INVARIANT + measured stats (72%, 100->12%) preserved; machine-md ref kept, skill-creator/customize/host.* refs dropped from body (STATUS-only); no kernel.py; ASCII-normalized per CC skill house style; body scrub-CLEAN
skills/expert-prose-style/SKILL.md	authored (ported from Claude Science expert-prose-style skill, reverse port)	clean	zero-dependency skill copied near-verbatim; only a STATUS header added; body + description unchanged; no cross-refs to remap
skills/teaching-narrative/SKILL.md	authored (ported from Claude Science teaching-narrative skill, reverse port)	light	reframe kernel.py re-shipped; SKILL.md rewritten to invoke writing-science's `writing_detectors.py scan --json` then `teaching_reframe.py`; paper-narrative cross-ref genericized (not ported); design-rationale + machine-md + writing-science refs kept. BUNDLES teaching_reframe.py (reframe functions VERBATIM + argparse CLI; consumes the scan JSON, does NOT re-ship the detectors) carried by the skills/ tree copy — no separate install row || UPDATED 2026-07-30 (Hb, writing-tools bundle S13): advisory bucket synced to FIVE keys (added pseudo_explanation->advisory to match post-P2c teaching_reframe.py, which is refreshed to post-P2c and still bundled -- no separate row).
skills/writing-science/SKILL.md	authored (ported from Claude Science writing-science skill, reverse port)	light	kernel.py auto-load rewritten to explicit `python3 <skill_dir>/writing_detectors.py scan [--json]` invocation; cross-refs remapped (Formal & Quantitative Argument Checker->formal-argument-checker agent; LLM Doc Architect->llm-doc-architect agent; AI-Safety Scholar->the relevant domain reviewer). BUNDLES writing_detectors.py (detector/utility functions VERBATIM + argparse scan CLI) carried by the skills/ tree copy — no separate install row || UPDATED 2026-07-30 (Hb, writing-tools bundle): detector layer REFRESHED to post-P2c engine of record (bundled writing_detectors.py 1156->1670 lines: flourish split into flourish_triad/epigram/metaphor/apologetic_contrast, novelty_claims, noun_trains, term_drift+def-distance, pseudo_explanation, em_dashes, gradient tune, compare CLI) MERGED with S11 judgment-tier Self-scan additions (atoms preserved). fixture-measured + adversarially verified TRUSTWORTHY-WITH-CORRECTIONS (28/7/25; ZERO regressions; validation kit at tests/writing-science-validation/) -- NOT measured-working. writing_detectors.py still bundled (no separate row).
skills/reproduce-model-from-literature/SKILL.md	authored (2026-07-14, ported from Claude Science skill)	clean	shared reproduce-before-extend workflow for ecophysiology-modeler + dynamical-systems-modeler; verbatim from the Science skill (no project tokens)
skills/micromet-height-interpolation/SKILL.md	authored (2026-07-14, ported from Claude Science skill)	clean	vertical-grid gotchas for micromet-reconstructor (decompose/soft-prior/broadcast-globals/derive-VPD/held-out benchmark); canopy vocab is INFO-only, no project pointers
agents/ecophysiology-modeler.md	Claude Science ECOPHYSIOLOGY_MODELER profile (reverse port 2026-07-14)	light	profile->agent frontmatter (model:opus/color:green/memory:project)+STATUS; optimality/eco-evolutionary modeler; redirect to Science-only model-code auditor genericized to "a model-code auditor"; siblings dynamical-systems-modeler + code-review-debugger + research-stats-advisor skill
agents/dynamical-systems-modeler.md	Claude Science DYNAMICAL_SYSTEMS_MODELER profile (reverse port 2026-07-14)	light	profile->agent frontmatter (model:opus/color:teal/memory:project)+STATUS; ODE/PDE/matrix/biogeochem dynamics modeler; split from ecophysiology-modeler by reasoning mode; same auditor genericization
agents/micromet-reconstructor.md	Claude Science MICROMET_RECONSTRUCTOR profile (reverse port 2026-07-14)	light	profile->agent frontmatter (model:opus/color:cyan/memory:project)+STATUS; micromet gap-fill+height-interp pipeline owner; defers method choice to research-stats-advisor skill; companion skills gap-fill-imputation + micromet-height-interpolation; no project tokens
skills/sci-library-curate/SKILL.md	authored (ported from Claude Science skill, toolkit refresh v1.3; kernel->CLI reship)	light	Dedup/migrate-copy/topic-organize a sci-file-index paper library via argparse CLI (dedup|migrate|organize); sci_library_curate.py rides the skills/ tree copy, no separate MANIFEST row.
skills/scientific-ml-fundamentals/SKILL.md	authored (reverse port from Claude Science skill, T-42)	light	Discipline layer for scientific-ML gap-fill/fusion/reconstruction: scope-gate, benchmark-vs-brms/mgcv baseline, the QUALITY composite (accuracy+variability+coverage+seam-freeness not RMSE), uncertainty-by-default. Scrubbed K67/CliMA -> generic tall-forest tower reconstruction; kernel.py auto-load -> explicit `python3 <skill_dir>/quality_metrics.py`. BUNDLES quality_metrics.py (quality_report/variability_fidelity/seam_magnitude VERBATIM) via the skills/ tree copy — no separate install row.
skills/calibrated-uq-for-ml/SKILL.md	authored (reverse port from Claude Science skill, T-42)	light	Produce AND validate calibrated predictive uncertainty (coverage vs nominal on held-out blocked CV, PIT, split-conformal widening). Scrubbed K67/ENSO dates; cov95 0.52-0.77 kept as illustrative failure magnitude. kernel.py -> explicit uq_calibration.py. BUNDLES uq_calibration.py (coverage_report/pit_values/conformal_calibrate/apply_conformal) via skills/ tree copy — no separate install row.
skills/biosphere-atmosphere-flux-exchange/SKILL.md	authored (reverse port from Claude Science skill, T-42)	medium	The Monson-Baldocchi biosphere-atmosphere flux canon (canopy turbulent transport, energy-balance closure, leaf->canopy->ecosystem scaling, surface-atmosphere coupling, EC methodology) — the unowned-canon fill; foundation for ml-hybrid-process-modeler, loadable by machine-learning-scientist + ecophysiology-modeler. Scrubbed all 6 K67 hits + grid/drought/region -> generic tall forest; description flattened to one line for the head-12 STATUS check. kernel.py -> explicit flux_physics.py. BUNDLES flux_physics.py (energy_balance_closure/bowen_ratio/omega_decoupling/aerodynamic_conductance + constants) via skills/ tree copy — no separate install row.
skills/multi-source-fusion-bias-correction/SKILL.md	authored (reverse port from Claude Science skill, T-42)	light	Cross-source bias-correction over overlap BEFORE fusion (assess bias/scale/shape -> linear rescale vs quantile mapping) so tower+satellite+reanalysis fuse without source-boundary seams; the only route carrying info across multi-year gaps. Scrubbed 'K67 record ~37%' -> 'one tower record'. kernel.py -> explicit fusion_bias_correct.py. BUNDLES fusion_bias_correct.py (source_agreement/linear_scale_correct/quantile_map) via skills/ tree copy — no separate install row.
skills/tree-ensembles/SKILL.md	authored (reverse port from Claude Science skill, T-42)	light	Gradient-boosted trees (xgboost/lightgbm) + random forests done right for tabular environmental regression — the one ML family proven here (beat a per-surface bam 45/46 folds). Feature engineering for temporal+height structure, quantile objective for intervals, blocked-CV eval, the interpolate-not-extrapolate boundary. Scrubbed K67 -> 'one reconstruction'. No script.
skills/physics-informed-ml/SKILL.md	authored (reverse port from Claude Science skill, T-42)	light	Fuse mechanism with ML: PINN (conservation as soft loss), hybrid/gray-box (conservation hard-coded, ML learns only uncertain closures — the DEFAULT), hard-vs-soft constraints; the learned component may never breach conservation, validate by transfer to a held-out regime. Scrubbed 'K67 flux' + CliMA refs -> generic canopy-flux/mechanistic model. No script.
skills/ml-emulator-surrogate/SKILL.md	authored (reverse port from Claude Science skill, T-42)	light	Fast ML surrogate of an expensive mechanistic canopy/land-surface solver for inversion/DA/UQ: space-filling DoE, active learning, GP/NN/tree family choice, the in-domain trust boundary. Scrubbed 'CliMA-Emerald canopy solve' -> 'an expensive mechanistic canopy/land-surface model'. No script.
skills/delegation-planning/SKILL.md	authored (ported from Claude Science skill, T-53/T-57 2026-07-19)	medium	design-time routing decision procedure for the planner agent: request-archetype recognition (STEP ZERO) + coupling/charter routing + 4 cascade topologies. Science delegation-SDK refs (host.delegate/sub-agent) translated to CC Task-tool language.
skills/directing-execution/SKILL.md	authored (ported from Claude Science skill, T-53 2026-07-19)	medium	run-time orchestration loop for the planner agent: supervise -> re-route -> adapt/abort. Science delegation-SDK refs translated to CC Task-tool language.
skills/request-archetypes/SKILL.md	authored (ported from Claude Science skill, T-57 2026-07-19)	light	empirical request-archetype -> canonical-carrier registry (handoff/planning/skill-authoring/review/index/figure/methods/stats/manuscript...); STEP ZERO for the planner. Science-isms genericized.
skills/scanned-pdf-ocr/SKILL.md	authored (ported from Claude Science skill, T-53 2026-07-19)	medium	OCR a scanned/image-only PDF to searchable text. BUNDLES scanned_pdf_ocr.py (Tesseract primary path + rasterize fallback; the Science in-kernel VLM path has no CC equivalent and is replaced by rasterize+Read) carried by the skills/ tree copy - no separate install row.
agents/machine-learning-scientist.md	Claude Science MACHINE_LEARNING_SCIENTIST profile (reverse port T-42)	medium	profile->agent frontmatter (model:opus/color:blue/memory:project)+STATUS; Agent A boundary-from-data = multi-source fusion + large multi-year-gap fill + joint time×height reconstruction + calibrated UQ; anti-failure = beat brms/mgcv on the QUALITY composite under blocked CV, never RMSE. Scrubbed tower Raw/MSG/CERES/ERA5+K67 2000-2023+T0+2015/16 drought -> generic; Science-profile cross-refs remapped via CC name-map; DROPPED hands-free-alert appendix (CC uses xbeep hooks). Companion skills scientific-ml-fundamentals/multi-source-fusion-bias-correction/calibrated-uq-for-ml/tree-ensembles/temporal-block-cv.
agents/ml-hybrid-process-modeler.md	Claude Science ML_HYBRID_PROCESS_MODELER profile (reverse port T-42)	medium	profile->agent frontmatter (model:opus/color:blue/memory:project)+STATUS; Agent B mechanism-from-interior = above->within-canopy mapping through the flux mechanism (PINN/gray-box/emulator); anti-failure = learned component may never breach conservation (Rn=H+λE+G), validate by transfer to held-out drought. Scrubbed CliMA-Emerald force-from-above -> 'a force-from-above/emergent-interior canopy model architecture'; name-map applied; DROPPED hands-free-alert appendix. Foundation skill biosphere-atmosphere-flux-exchange; companions physics-informed-ml/ml-emulator-surrogate.
agents/planner.md	authored (ported from Claude Science v2.0 Planner profile, T-57 2026-07-19)	medium	planning lead for /plan: recognizes request archetype -> decomposes -> routes each subtask to agent+skill -> picks execution topology -> directs execution. Science runtime atoms (delegation SDK, roster API, turn-end-alert connector) mapped to CC equivalents (Task tool, .claude/agents+skills files, Stop/Notification hooks). Loads delegation-planning+directing-execution+request-archetypes.
hooks/claim-verify-guard.sh	payload/hooks/ (pre-existing; WIRED into install.sh 2026-07-27)	authored	write-time claim-vs-record recompute hook (PreToolUse Write|Edit, BLOCKS exit 2). Existed in payload but was never installed (DISC-06-a, countermeasures ledger); now in the core cp list + its fragment in FRAGS.
hooks/plan-routing-gate.sh	authored 2026-07-27 (planner-upgrade pass); L4 reworked 2026-08-04 (O-series)	authored	PreToolUse ExitPlanMode gate: lints the plan's Delegation & Routing block (A2 schema; SEED-06 anti-theater, model-tier ban) and BLOCKS on missing/malformed; crt-mode escape; fail-open on script errors. Fragment: settings/plan-routing-gate.fragment.json. 2026-08-04: L4 split into tier-ban + supervision — a delegate:opus5-executor / T1_supervised track REQUIRES a supervised/supervision marker, and the block-wide backstop narrowed from a bare claude-opus-5 substring to model-FIELD assignments + unparseable blocks (so a plan may name the model in prose). Fixtures s1..s8.
hooks/opus-dispatch-guard.sh	authored 2026-08-04 (O-series)	authored	PreToolUse Task guard: DENIES a launch whose tool_input.model is the bare alias `opus`/`opusplan` (alone or context-suffixed); silent on everything else. Closes the DISPATCH-time hole the build-time (verify_models) and plan-time (plan-routing-gate) halves never covered — measured 2026-08-04: a live Task(model:"opus") fired nothing. Fragment: settings/opus-dispatch-guard.fragment.json. Tests: tests/test_opus_dispatch_guard.sh (21).
hooks/subagent_qa_gate.sh	authored 2026-08-04 (O-series)	authored	SubagentStop QA scan + error-mode TELEMETRY: appends one row per child completion (clean ones INCLUDED — a rate needs a denominator) to $CRT_ERROR_MODE_LOG (default $CLAUDE_PROJECT_DIR/dev/error_mode_log.jsonl), LIGHT pattern set for every child + the FULL set incl. scope-drift/thrash/timidity for a pinned supervised executor, and ONE advisory nudge at severity 2+ (stop_hook_active guarded). Fail-open always; log errors swallowed to a .err sidecar. SubagentStop was MEASURED unregistered 2026-08-04. Fragment: settings/subagent-qa.fragment.json. Reader: dev/tools/error_mode_rates.py. Tests: tests/test_subagent_qa_gate.sh (41).
lib/verify_models.sh	authored 2026-07-27 (planner-upgrade pass)	authored	fail-closed model-policy install gate: DENY claude-opus-5 / bare opus / opusplan in agent frontmatter + settings fragments; WARN non-full-id values. Wired as the 5th pre-copy gate; test: tests/test_verify_models.sh (42 checks).
lib/crt-persona.sh	authored 2026-07-27 (planner-upgrade pass)	authored	primary-persona default manager: on|off|show for the "agent" settings key (default persona = planner). on = merge persona.fragment via merge_settings.py; off = dedicated pop+atomic-replace (merger has no delete path); test: tests/test_crt_persona.sh (36 checks).
settings-fragments/persona.fragment.json	payload/settings/persona.fragment.json (authored 2026-07-27)	authored	{"agent": "planner"} — the default-persona fragment (personal tier + crt-persona on). Removal: crt-persona off; per-session override: claude --agent <name>.
lib/merge_settings.py	lib/ (pre-existing; now ALSO installed to ~/.claude/lib 2026-07-27)	authored	deep-merge settings tool, installed so crt-persona.sh works from the installed tree (fragment-wins on scalars; no delete path by design).
agents/software-developer.md	authored 2026-07-28 (software-developer pass)	authored	the roster's build-side specialist: implements/extends/refactors research software to a spec (R/Python/Julia/bash); spec-before-code, semantic tests with the code, baseline-before-extend; hands substantial builds to code-review-debugger (author≠reviewer). model: claude-opus-4-8 pinned; per-launch fable/sonnet overrides; per-project via lib/crt-dev-model.sh. TIER-S twin of CS SOFTWARE_DEVELOPER.
skills/software-craft/SKILL.md	authored 2026-07-28 (software-developer pass)	authored	build discipline: 5-line contract, semantic tests, baseline-before-extend, interface/dependency hygiene, measure-before-optimize. DEDICATED to software-developer; also inline-loadable.
skills/testing-discipline/SKILL.md	authored 2026-07-28 (software-developer pass)	authored	check-and-fixture contract generalized from the failure corpus: red-before-green, real-defect fixtures run separately, mutation spot-checks, semantic assertions. DEDICATED to software-developer.
skills/refactoring/SKILL.md	authored 2026-07-28 (software-developer pass)	authored	refactor-invariants rule operationalized: re-derive invariants, old-currency grep, unify-over-parallel-patch, re-baseline. DEDICATED to software-developer.
